"response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.news_desk","response.docs.section_name","response.docs.subsectoinName","response.docs.type_of_material","response.docs.word_count","response.docs.score","response.docs.byline.organization","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization.1","response.meta.hits","response.meta.offset"
"https://www.nytimes.com/2018/08/25/world/asia/korea-trump-pompeo.html","Many had hoped that the American secretary of state’s planned visit to North Korea would help the South’s leader, Moon Jae-in, to advance his inter-Korean agenda.","Many had hoped that the American secretary of state’s planned visit to North Korea would help the South’s leader, Moon Jae-in, to advance his inter-Korean agenda.","The New York Times","2018-08-25T11:20:09+0000","Foreign","World","Asia Pacific","News",1205,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,20
"https://www.nytimes.com/video/world/asia/100000005946985/how-north-korea-is-spinning-the-summit.html","North Korean state media has been constrained in its coverage of Kim Jong-un’s international engagements, including his highly anticipated meeting with President Trump. Until now.","North Korean state media has been constrained in its coverage of Kim Jong-un’s international engagements, including his highly anticipated meeting with President Trump. Until now.","The New York Times","2018-06-11T21:21:02+0000","World / Asia Pacific","World","Asia Pacific","Video",440,0,NA,NA,NA,NA,NA,"By AINARA TIEFENTHÄLER and ROBIN STEIN",NA,268,30
"https://www.nytimes.com/2018/06/10/world/asia/trump-kim-korea-denuclearization-peace-treaty.html","Whether denuclearization on the Korean Peninsula means the same thing to President Trump and Mr. Kim goes to the crux of their meeting and could ultimately shape its success or failure.","Whether denuclearization on the Korean Peninsula means the same thing to President Trump and Mr. Kim goes to the crux of their meeting and could ultimately shape its success or failure.","The New York Times","2018-06-10T07:00:08+0000","Foreign","World","Asia Pacific","News",1426,0,NA,NA,NA,NA,NA,"By RICK GLADSTONE",NA,268,30
"https://www.nytimes.com/2018/06/12/world/asia/trump-kim-policy.html","It is a huge gamble, based on the assumption that the force of Mr. Trump’s personality, and the deal-making skills in which he has supreme confidence, will make all the difference.","It is a huge gamble, based on the assumption that the force of Mr. Trump’s personality, and the deal-making skills in which he has supreme confidence, will make all the difference.","The New York Times","2018-06-12T16:35:00+0000","Foreign","World","Asia Pacific","News Analysis",1149,0,NA,"News Analysis","News Analysis",NA,NA,"By DAVID E. SANGER",NA,268,30
"https://www.nytimes.com/2018/06/11/world/asia/trump-kim-live-updates.html","After his meeting with Kim Jong-un, President Trump said “the war games” would stop, an apparent concession to North Korea.","After his meeting with Kim Jong-un, President Trump said “the war games” would stop, an apparent concession to North Korea.","The New York Times","2018-06-11T15:04:36+0000","Foreign","World","Asia Pacific","News",1826,0,NA,"Live Briefing","Live Briefing",NA,NA,NA,NA,268,30
"https://www.nytimes.com/2018/09/11/world/asia/trump-kim-jong-un-summit.html","President Moon Jae-in of South Korea encouraged North Korea and the United States to engage in a give-and-take exchange to break their stalled diplomacy.","President Moon Jae-in of South Korea encouraged North Korea and the United States to engage in a give-and-take exchange to break their stalled diplomacy.","The New York Times","2018-09-11T10:11:39+0000","Foreign","World","Asia Pacific","News",724,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,30
"https://www.nytimes.com/2018/08/29/world/asia/moon-jae-in-meeting-kim-jong-un.html","President Moon Jae-in of South Korea sees a more urgent need to meet North Korea leader after Mike Pompeo’s trip to the North was canceled.","President Moon Jae-in of South Korea sees a more urgent need to meet North Korea leader after Mike Pompeo’s trip to the North was canceled.","The New York Times","2018-08-29T10:00:13+0000","Foreign","World","Asia Pacific","News",706,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,30
"https://www.nytimes.com/2018/06/12/arts/television/james-corden-doesnt-trust-trumps-judgment-on-kim-jong-un.html","President Trump said he’d use his “touch” and “feel” to gauge Kim’s sincerity. Corden said the last time Trump tried that, “he had to pay Stormy Daniels $130,000.”","President Trump said he’d use his “touch” and “feel” to gauge Kim’s sincerity. Corden said the last time Trump tried that, “he had to pay Stormy Daniels $130,000.”","The New York Times","2018-06-12T09:09:32+0000","Culture","Arts","Television","News",700,0,NA,"Best of Late Night","Best of Late Night",NA,NA,"By GIOVANNI RUSSONELLO",NA,268,30
"https://www.nytimes.com/2018/06/18/world/asia/kim-jong-un-china-north-korea.html","As the United States and China drift into a trade war, Mr. Kim, a week after meeting President Trump, will have the chance to play one power against the other.","As the United States and China drift into a trade war, Mr. Kim, a week after meeting President Trump, will have the chance to play one power against the other.","The New York Times","2018-06-19T02:44:05+0000","Foreign","World","Asia Pacific","News",1122,0,NA,NA,NA,NA,NA,"By JANE PERLEZ",NA,268,30
"https://www.nytimes.com/2018/09/23/opinion/north-south-korea-nuclear-weapons.html","Moon Jae-in’s visit to Pyongyang was a promising step. But the North Korean nuclear threat remains.","Moon Jae-in’s visit to Pyongyang was a promising step. But the North Korean nuclear threat remains.","The New York Times","2018-09-23T23:47:03+0000","Editorial","Opinion",NA,"Editorial",587,0,"THE EDITORIAL BOARD",NA,NA,NA,NA,"By THE EDITORIAL BOARD","THE EDITORIAL BOARD",268,30
